# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Fri Jan  7 16:11:34 2022
# Spectral unit: Frequency[cm-1]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
1.309764221e+03 9.94440e-01 9.99970e-01 1.00000e+00 1.00000e+00 9.94807e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309761602e+03 9.94679e-01 9.99974e-01 1.00000e+00 1.00000e+00 9.95043e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309758982e+03 9.94990e-01 9.99976e-01 1.00000e+00 1.00000e+00 9.95351e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309756363e+03 9.95286e-01 9.99978e-01 1.00000e+00 1.00000e+00 9.95646e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309753743e+03 9.95531e-01 9.99979e-01 1.00000e+00 1.00000e+00 9.95891e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309751124e+03 9.95749e-01 9.99979e-01 1.00000e+00 1.00000e+00 9.96108e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309748504e+03 9.95946e-01 9.99979e-01 1.00000e+00 1.00000e+00 9.96305e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309745885e+03 9.96125e-01 9.99979e-01 1.00000e+00 1.00000e+00 9.96485e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309743265e+03 9.96290e-01 9.99978e-01 1.00000e+00 1.00000e+00 9.96650e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309740646e+03 9.96442e-01 9.99978e-01 1.00000e+00 1.00000e+00 9.96802e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309738026e+03 9.96582e-01 9.99977e-01 1.00000e+00 1.00000e+00 9.96943e-01 1.00000e+00 9.99670e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309735407e+03 9.96711e-01 9.99976e-01 1.00000e+00 1.00000e+00 9.97074e-01 1.00000e+00 9.99670e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309732788e+03 9.96830e-01 9.99975e-01 1.00000e+00 1.00000e+00 9.97194e-01 1.00000e+00 9.99670e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309730168e+03 9.96941e-01 9.99974e-01 1.00000e+00 1.00000e+00 9.97307e-01 1.00000e+00 9.99670e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
